track	rbp_name	chr	start	end	score	location
encRegTfbsClustered	CTCF	chr17	17680728	17683561	1000	5UTR_region
encRegTfbsClustered	SMC3	chr17	17680971	17681667	1000	5UTR_region
encRegTfbsClustered	RAD21	chr17	17680989	17681655	1000	5UTR_region
encRegTfbsClustered	TRIM22	chr17	17681023	17681459	668	5UTR_region
encRegTfbsClustered	ZBTB7A	chr17	17681070	17681474	598	5UTR_region
encRegTfbsClustered	YY1	chr17	17681099	17681482	376	5UTR_region
encRegTfbsClustered	IKZF1	chr17	17681101	17681983	780	5UTR_region
encRegTfbsClustered	HDAC6	chr17	17681120	17681616	245	5UTR_region
encRegTfbsClustered	RBFOX2	chr17	17681134	17683603	679	5UTR_region
encRegTfbsClustered	KDM4A	chr17	17681136	17682242	509	5UTR_region
encRegTfbsClustered	ZNF24	chr17	17681141	17681699	213	5UTR_region
encRegTfbsClustered	TCF12	chr17	17681143	17681483	533	5UTR_region
encRegTfbsClustered	POLR2A	chr17	17681144	17683373	1000	5UTR_region
encRegTfbsClustered	MNT	chr17	17681145	17681714	197	5UTR_region
encRegTfbsClustered	SIN3A	chr17	17681147	17681827	699	5UTR_region
encRegTfbsClustered	GABPA	chr17	17681150	17681708	925	5UTR_region
encRegTfbsClustered	ZFX	chr17	17681152	17683053	1000	5UTR_region
encRegTfbsClustered	MYC	chr17	17681155	17681823	452	5UTR_region
encRegTfbsClustered	RCOR1	chr17	17681155	17681495	543	5UTR_region
encRegTfbsClustered	EED	chr17	17681159	17681639	333	5UTR_region
encRegTfbsClustered	POLR2G	chr17	17681175	17683289	796	5UTR_region
encRegTfbsClustered	ZKSCAN1	chr17	17681176	17681526	175	5UTR_region
encRegTfbsClustered	NR3C1	chr17	17681183	17681487	573	5UTR_region
encRegTfbsClustered	RXRA	chr17	17681186	17681482	266	5UTR_region
encRegTfbsClustered	MXI1	chr17	17681186	17681786	267	5UTR_region
encRegTfbsClustered	GATAD2B	chr17	17681192	17681874	1000	5UTR_region
encRegTfbsClustered	TBP	chr17	17681195	17681575	235	5UTR_region
encRegTfbsClustered	E2F6	chr17	17681199	17682024	304	5UTR_region
encRegTfbsClustered	BHLHE40	chr17	17681200	17681825	139	5UTR_region
encRegTfbsClustered	SKI	chr17	17681201	17681651	230	5UTR_region
encRegTfbsClustered	HCFC1	chr17	17681209	17681525	146	5UTR_region
encRegTfbsClustered	ZNF384	chr17	17681216	17681500	184	5UTR_region
encRegTfbsClustered	RB1	chr17	17681219	17681598	891	5UTR_region
encRegTfbsClustered	MAX	chr17	17681221	17681808	323	5UTR_region
encRegTfbsClustered	RBM39	chr17	17681233	17681913	410	5UTR_region
encRegTfbsClustered	TAF1	chr17	17681236	17681862	378	5UTR_region
encRegTfbsClustered	FOXA1	chr17	17681239	17681523	156	5UTR_region
encRegTfbsClustered	ZNF592	chr17	17681241	17681825	215	5UTR_region
encRegTfbsClustered	UBTF	chr17	17681245	17681655	614	5UTR_region
encRegTfbsClustered	CREM	chr17	17681250	17681550	199	5UTR_region
encRegTfbsClustered	GABPB1	chr17	17681255	17681577	60	5UTR_region
encRegTfbsClustered	ZBTB11	chr17	17681261	17681591	352	5UTR_region
encRegTfbsClustered	SAFB	chr17	17681265	17681635	372	5UTR_region
encRegTfbsClustered	EP300	chr17	17681272	17681884	289	5UTR_region
encRegTfbsClustered	ETS1	chr17	17681280	17681540	322	5UTR_region
encRegTfbsClustered	SUZ12	chr17	17681309	17683412	1000	5UTR_region
encRegTfbsClustered	DPF2	chr17	17681325	17681920	684	5UTR_region
encRegTfbsClustered	SIN3B	chr17	17681328	17681678	116	5UTR_region
encRegTfbsClustered	PHF8	chr17	17681332	17682162	403	5UTR_region
encRegTfbsClustered	ELF1	chr17	17681335	17681595	173	5UTR_region
encRegTfbsClustered	ASH2L	chr17	17681335	17681855	553	5UTR_region
encRegTfbsClustered	ARID3A	chr17	17681345	17681894	373	5UTR_region
encRegTfbsClustered	BACH1	chr17	17681374	17681848	449	5UTR_region
encRegTfbsClustered	CTBP1	chr17	17681400	17681940	113	5UTR_region
encRegTfbsClustered	EGR1	chr17	17681416	17681660	469	5UTR_region
encRegTfbsClustered	ZNF687	chr17	17681443	17681565	437	5UTR_region
encRegTfbsClustered	ZSCAN29	chr17	17681538	17681822	242	5UTR_region
encRegTfbsClustered	ZNF143	chr17	17681564	17681841	56	5UTR_region
encRegTfbsClustered	RB1	chr17	17681602	17681918	313	5UTR_region
encRegTfbsClustered	ZBTB7A	chr17	17681646	17682082	611	5UTR_region
encRegTfbsClustered	RNF2	chr17	17681648	17682996	364	5UTR_region
encRegTfbsClustered	ZNF217	chr17	17681667	17681814	625	5UTR_region
encRegTfbsClustered	EGR1	chr17	17681733	17681977	552	5UTR_region
encRegTfbsClustered	EZH2	chr17	17681805	17683555	644	5UTR_region
encRegTfbsClustered	NR3C1	chr17	17681812	17682116	532	5UTR_region
encRegTfbsClustered	TFAP4	chr17	17681848	17682218	223	5UTR_region
encRegTfbsClustered	ZNF143	chr17	17681855	17682139	171	5UTR_region
encRegTfbsClustered	HDAC6	chr17	17681863	17682359	413	5UTR_region
encRegTfbsClustered	RAD21	chr17	17681900	17682116	254	5UTR_region
encRegTfbsClustered	FIP1L1	chr17	17682068	17682612	292	5UTR_region
encRegTfbsClustered	PAX5	chr17	17682083	17682387	490	5UTR_region
encRegTfbsClustered	MYC	chr17	17682109	17682429	460	5UTR_region
encRegTfbsClustered	UBTF	chr17	17682135	17683074	524	5UTR_region
encRegTfbsClustered	AGO1	chr17	17682145	17682855	233	5UTR_region
encRegTfbsClustered	TBP	chr17	17682162	17682542	80	5UTR_region
encRegTfbsClustered	ATF7	chr17	17682194	17682780	532	5UTR_region
encRegTfbsClustered	RBM39	chr17	17682198	17682878	468	5UTR_region
encRegTfbsClustered	ATF2	chr17	17682219	17682723	514	5UTR_region
encRegTfbsClustered	YY1	chr17	17682222	17682566	243	5UTR_region
encRegTfbsClustered	ETS1	chr17	17682231	17682491	530	5UTR_region
encRegTfbsClustered	CREB1	chr17	17682234	17682717	881	5UTR_region
encRegTfbsClustered	ARNT	chr17	17682236	17682930	225	5UTR_region
encRegTfbsClustered	IKZF1	chr17	17682238	17683173	546	5UTR_region
encRegTfbsClustered	BHLHE40	chr17	17682244	17682708	957	5UTR_region
encRegTfbsClustered	NRF1	chr17	17682246	17682565	14	5UTR_region
encRegTfbsClustered	LEF1	chr17	17682256	17682606	559	5UTR_region
encRegTfbsClustered	MGA	chr17	17682262	17682826	246	5UTR_region
encRegTfbsClustered	ELF1	chr17	17682272	17682716	136	5UTR_region
encRegTfbsClustered	RBBP5	chr17	17682275	17683430	250	5UTR_region
encRegTfbsClustered	MNT	chr17	17682279	17683505	121	5UTR_region
encRegTfbsClustered	ZNF687	chr17	17682293	17682938	491	5UTR_region
encRegTfbsClustered	AGO2	chr17	17682325	17682940	523	5UTR_region
encRegTfbsClustered	ZNF143	chr17	17682325	17682846	200	5UTR_region
encRegTfbsClustered	ZNF207	chr17	17682326	17682736	673	5UTR_region
encRegTfbsClustered	SAFB	chr17	17682327	17682604	795	5UTR_region
encRegTfbsClustered	JUND	chr17	17682327	17682607	583	5UTR_region
encRegTfbsClustered	SKIL	chr17	17682330	17683050	502	5UTR_region
encRegTfbsClustered	SKI	chr17	17682334	17682784	301	5UTR_region
encRegTfbsClustered	GATAD2B	chr17	17682343	17682733	748	5UTR_region
encRegTfbsClustered	ATF3	chr17	17682346	17682683	317	5UTR_region
encRegTfbsClustered	CREM	chr17	17682361	17682577	758	5UTR_region
encRegTfbsClustered	TAF15	chr17	17682378	17683075	597	5UTR_region
encRegTfbsClustered	RBM14	chr17	17682389	17682845	437	5UTR_region
encRegTfbsClustered	IRF3	chr17	17682389	17682673	191	5UTR_region
encRegTfbsClustered	E2F1	chr17	17682390	17682690	149	5UTR_region
encRegTfbsClustered	L3MBTL2	chr17	17682397	17683242	341	5UTR_region
encRegTfbsClustered	KLF5	chr17	17682406	17683022	282	5UTR_region
encRegTfbsClustered	SIN3A	chr17	17682407	17683835	719	5UTR_region
encRegTfbsClustered	SMC3	chr17	17682408	17682938	115	5UTR_region
encRegTfbsClustered	PHF8	chr17	17682416	17683219	923	5UTR_region
encRegTfbsClustered	CHD1	chr17	17682426	17682822	273	5UTR_region
encRegTfbsClustered	NCOA6	chr17	17682427	17682823	195	5UTR_region
encRegTfbsClustered	BACH1	chr17	17682444	17682635	694	5UTR_region
encRegTfbsClustered	CLOCK	chr17	17682447	17682867	307	5UTR_region
encRegTfbsClustered	EP300	chr17	17682447	17682667	217	5UTR_region
encRegTfbsClustered	HNRNPK	chr17	17682461	17682965	530	gene_body
encRegTfbsClustered	TAF1	chr17	17682475	17683528	761	gene_body
encRegTfbsClustered	DPF2	chr17	17682481	17682773	837	gene_body
encRegTfbsClustered	ZNF217	chr17	17682541	17683001	415	gene_body
encRegTfbsClustered	SPI1	chr17	17682545	17682785	439	gene_body
encRegTfbsClustered	RFX5	chr17	17682595	17682971	26	gene_body
encRegTfbsClustered	SMAD5	chr17	17682618	17683406	326	gene_body
encRegTfbsClustered	ASH2L	chr17	17682647	17683504	488	gene_body
encRegTfbsClustered	TFAP4	chr17	17682664	17683034	214	gene_body
encRegTfbsClustered	KDM5B	chr17	17682698	17683282	400	gene_body
encRegTfbsClustered	KDM4A	chr17	17682700	17683404	616	gene_body
encRegTfbsClustered	NRF1	chr17	17682706	17683387	25	gene_body
encRegTfbsClustered	EGR1	chr17	17682721	17682965	361	gene_body
encRegTfbsClustered	ZNF263	chr17	17682728	17683312	289	gene_body
encRegTfbsClustered	FOXM1	chr17	17682729	17683009	219	gene_body
encRegTfbsClustered	EP400	chr17	17682730	17683434	306	gene_body
encRegTfbsClustered	FOXA1	chr17	17682739	17683061	199	gene_body
encRegTfbsClustered	YY1	chr17	17682756	17683132	1000	gene_body
encRegTfbsClustered	MXI1	chr17	17682762	17683564	643	gene_body
encRegTfbsClustered	KDM5A	chr17	17682766	17683566	221	gene_body
encRegTfbsClustered	NR3C1	chr17	17682772	17683076	603	gene_body
encRegTfbsClustered	HNRNPLL	chr17	17682774	17682979	203	gene_body
encRegTfbsClustered	EP300	chr17	17682778	17683102	250	gene_body
encRegTfbsClustered	MYC	chr17	17682782	17683304	534	gene_body
encRegTfbsClustered	POU2F2	chr17	17682791	17683101	429	gene_body
encRegTfbsClustered	HDAC2	chr17	17682799	17683135	518	gene_body
encRegTfbsClustered	HCFC1	chr17	17682799	17683115	135	gene_body
encRegTfbsClustered	JUND	chr17	17682812	17683088	602	gene_body
encRegTfbsClustered	DPF2	chr17	17682816	17682961	271	gene_body
encRegTfbsClustered	E2F6	chr17	17682821	17683151	226	gene_body
encRegTfbsClustered	NFE2L2	chr17	17682830	17683070	124	gene_body
encRegTfbsClustered	ZBTB33	chr17	17682834	17683298	245	gene_body
encRegTfbsClustered	MAX	chr17	17682837	17683041	263	gene_body
encRegTfbsClustered	LEF1	chr17	17682860	17683210	504	gene_body
encRegTfbsClustered	E2F1	chr17	17682887	17683660	196	gene_body
encRegTfbsClustered	GATA2	chr17	17682926	17683538	90	gene_body
encRegTfbsClustered	RAD21	chr17	17682931	17683142	112	gene_body
encRegTfbsClustered	GATA1	chr17	17682960	17683560	170	gene_body
encRegTfbsClustered	CREB1	chr17	17682978	17683348	305	gene_body
encRegTfbsClustered	NFIC	chr17	17682979	17683559	377	gene_body
encRegTfbsClustered	CREM	chr17	17682985	17683345	609	gene_body
encRegTfbsClustered	TBP	chr17	17682988	17683372	322	gene_body
encRegTfbsClustered	ATF4	chr17	17683012	17683302	267	gene_body
encRegTfbsClustered	ATF3	chr17	17683014	17683300	315	gene_body
encRegTfbsClustered	CEBPB	chr17	17683017	17683273	420	gene_body
encRegTfbsClustered	EGR1	chr17	17683025	17683469	535	gene_body
encRegTfbsClustered	ATF7	chr17	17683069	17683370	233	gene_body
encRegTfbsClustered	ATF2	chr17	17683069	17683313	196	gene_body
encRegTfbsClustered	MAX	chr17	17683094	17683514	493	gene_body
encRegTfbsClustered	IKZF2	chr17	17683103	17683693	275	gene_body
encRegTfbsClustered	ARNT	chr17	17683111	17683595	258	gene_body
encRegTfbsClustered	CLOCK	chr17	17683139	17683559	179	gene_body
encRegTfbsClustered	ZBTB7A	chr17	17683161	17683565	346	gene_body
encRegTfbsClustered	MEF2B	chr17	17683203	17683779	95	gene_body
encRegTfbsClustered	IKZF1	chr17	17683207	17683709	257	gene_body
encRegTfbsClustered	NR3C1	chr17	17683419	17683643	274	gene_body
encRegTfbsClustered	MLLT1	chr17	17683913	17684235	249	gene_body
encRegTfbsClustered	WRNIP1	chr17	17683954	17684330	653	gene_body
encRegTfbsClustered	FOS	chr17	17683989	17684409	83	gene_body
encRegTfbsClustered	EP300	chr17	17684853	17685369	141	gene_body
encRegTfbsClustered	REST	chr17	17684868	17685358	105	gene_body
encRegTfbsClustered	SUZ12	chr17	17684915	17686039	464	gene_body
encRegTfbsClustered	NFE2L2	chr17	17684939	17685179	327	gene_body
encRegTfbsClustered	RFX1	chr17	17684941	17685200	107	gene_body
encRegTfbsClustered	POLR2A	chr17	17685108	17686753	511	gene_body
encRegTfbsClustered	TRIM28	chr17	17685151	17685827	491	gene_body
encRegTfbsClustered	RBFOX2	chr17	17685186	17685962	46	gene_body
encRegTfbsClustered	GATAD2B	chr17	17685342	17685862	246	gene_body
encRegTfbsClustered	ZNF263	chr17	17685348	17686270	1000	gene_body
encRegTfbsClustered	NR2F2	chr17	17685409	17686170	493	gene_body
encRegTfbsClustered	SP1	chr17	17685463	17686276	231	gene_body
encRegTfbsClustered	REST	chr17	17685463	17686011	331	gene_body
encRegTfbsClustered	WRNIP1	chr17	17685498	17686104	580	gene_body
encRegTfbsClustered	NBN	chr17	17685501	17686085	270	gene_body
encRegTfbsClustered	EZH2	chr17	17685638	17686022	241	gene_body
encRegTfbsClustered	SIN3A	chr17	17685665	17686169	344	gene_body
encRegTfbsClustered	HDAC1	chr17	17685684	17686200	167	gene_body
encRegTfbsClustered	GATA1	chr17	17685688	17686288	216	gene_body
encRegTfbsClustered	SMARCA4	chr17	17685693	17686417	419	gene_body
encRegTfbsClustered	MNT	chr17	17685707	17686537	140	gene_body
encRegTfbsClustered	CTBP1	chr17	17685725	17686827	351	gene_body
encRegTfbsClustered	PAX5	chr17	17685729	17686033	225	gene_body
encRegTfbsClustered	NR2F1	chr17	17685741	17686231	163	gene_body
encRegTfbsClustered	ARID1B	chr17	17685744	17686268	123	gene_body
encRegTfbsClustered	ZFX	chr17	17685747	17686383	280	gene_body
encRegTfbsClustered	SMARCE1	chr17	17685762	17686278	290	gene_body
encRegTfbsClustered	MXI1	chr17	17685764	17686248	699	gene_body
encRegTfbsClustered	JUND	chr17	17685774	17686211	1000	gene_body
encRegTfbsClustered	L3MBTL2	chr17	17685782	17686306	284	gene_body
encRegTfbsClustered	ESR1	chr17	17685789	17686089	108	gene_body
encRegTfbsClustered	TAF1	chr17	17685794	17686224	530	gene_body
encRegTfbsClustered	SOX6	chr17	17685804	17686240	212	gene_body
encRegTfbsClustered	CREB1	chr17	17685810	17686220	29	gene_body
encRegTfbsClustered	ZNF687	chr17	17685820	17686305	722	gene_body
encRegTfbsClustered	ATF3	chr17	17685823	17686188	636	gene_body
encRegTfbsClustered	MGA	chr17	17685824	17686388	235	gene_body
encRegTfbsClustered	CUX1	chr17	17685829	17686239	322	gene_body
encRegTfbsClustered	ZNF592	chr17	17685836	17686212	392	gene_body
encRegTfbsClustered	FOS	chr17	17685840	17686155	1000	gene_body
encRegTfbsClustered	GATA3	chr17	17685844	17686320	199	gene_body
encRegTfbsClustered	MYC	chr17	17685844	17686233	1000	gene_body
encRegTfbsClustered	GATA2	chr17	17685847	17686287	283	gene_body
encRegTfbsClustered	TBP	chr17	17685855	17686239	451	gene_body
encRegTfbsClustered	JUN	chr17	17685859	17686155	377	gene_body
encRegTfbsClustered	BACH1	chr17	17685864	17686220	266	gene_body
encRegTfbsClustered	EBF1	chr17	17685871	17686191	116	gene_body
encRegTfbsClustered	NR3C1	chr17	17685873	17686173	273	gene_body
encRegTfbsClustered	CREM	chr17	17685877	17686177	205	gene_body
encRegTfbsClustered	FOSL1	chr17	17685878	17686108	310	gene_body
encRegTfbsClustered	MAX	chr17	17685880	17686230	516	gene_body
encRegTfbsClustered	RAD21	chr17	17685898	17686114	162	gene_body
encRegTfbsClustered	TCF7L2	chr17	17685909	17686499	237	gene_body
encRegTfbsClustered	DPF2	chr17	17685914	17686132	387	gene_body
encRegTfbsClustered	STAT3	chr17	17685918	17686234	123	gene_body
encRegTfbsClustered	FOSL2	chr17	17685934	17686098	1000	gene_body
encRegTfbsClustered	EP300	chr17	17685940	17686150	263	gene_body
encRegTfbsClustered	E2F6	chr17	17685946	17686276	163	gene_body
encRegTfbsClustered	SMARCA5	chr17	17685997	17686413	399	gene_body
encRegTfbsClustered	NR3C1	chr17	17686286	17686786	320	gene_body
encRegTfbsClustered	ZNF444	chr17	17686357	17686813	247	gene_body
encRegTfbsClustered	IKZF2	chr17	17686360	17686950	310	gene_body
encRegTfbsClustered	MYC	chr17	17686387	17686691	552	gene_body
encRegTfbsClustered	MLLT1	chr17	17686424	17686827	293	gene_body
encRegTfbsClustered	IKZF1	chr17	17686457	17687224	413	gene_body
encRegTfbsClustered	TRIM22	chr17	17686492	17686936	403	gene_body
encRegTfbsClustered	NBN	chr17	17686563	17687251	435	gene_body
encRegTfbsClustered	TAF1	chr17	17686577	17687007	311	gene_body
encRegTfbsClustered	ZNF687	chr17	17686653	17687077	1000	gene_body
encRegTfbsClustered	PAX5	chr17	17686673	17686977	307	gene_body
encRegTfbsClustered	REST	chr17	17686700	17687020	155	gene_body
encRegTfbsClustered	ATF4	chr17	17688075	17688525	54	gene_body
encRegTfbsClustered	MAFK	chr17	17689011	17689391	202	gene_body
encRegTfbsClustered	NFATC3	chr17	17689213	17689743	296	gene_body
encRegTfbsClustered	EBF1	chr17	17689297	17689617	157	gene_body
encRegTfbsClustered	RFX5	chr17	17689337	17689673	318	gene_body
encRegTfbsClustered	USF2	chr17	17689421	17689697	202	gene_body
encRegTfbsClustered	BHLHE40	chr17	17689433	17689636	197	gene_body
encRegTfbsClustered	MLLT1	chr17	17689974	17690550	166	gene_body
encRegTfbsClustered	NFIC	chr17	17690081	17690525	139	gene_body
encRegTfbsClustered	EED	chr17	17690120	17690600	297	gene_body
encRegTfbsClustered	CTCF	chr17	17690467	17690807	82	gene_body
encRegTfbsClustered	ZNF592	chr17	17691118	17691402	192	gene_body
encRegTfbsClustered	CTCF	chr17	17691146	17691330	97	gene_body
encRegTfbsClustered	ZEB1	chr17	17691169	17691565	644	gene_body
encRegTfbsClustered	POLR2A	chr17	17691229	17691579	166	gene_body
encRegTfbsClustered	ETV6	chr17	17691275	17691691	70	gene_body
encRegTfbsClustered	RBM22	chr17	17691288	17691752	530	gene_body
encRegTfbsClustered	MLLT1	chr17	17691386	17691547	134	gene_body
encRegTfbsClustered	IKZF1	chr17	17691595	17692417	1000	gene_body
encRegTfbsClustered	MEF2B	chr17	17691702	17692515	1000	gene_body
encRegTfbsClustered	ETV6	chr17	17691761	17692177	170	gene_body
encRegTfbsClustered	NBN	chr17	17691794	17692588	424	gene_body
encRegTfbsClustered	RELB	chr17	17691808	17692298	777	gene_body
encRegTfbsClustered	NFATC3	chr17	17691821	17692559	247	gene_body
encRegTfbsClustered	SIN3A	chr17	17691824	17692444	140	gene_body
encRegTfbsClustered	SKIL	chr17	17691829	17692319	151	gene_body
encRegTfbsClustered	ARNT	chr17	17691831	17692315	329	gene_body
